Posição,País (ou território dependente),Estimativa da ONU,Data
1,Índia,1 425 627 557,2023
2,China,1 411 780 000,2021
3,Estados Unidos,331 449 281,2020
4,Indonésia,260 523 615,2020
5,Paquistão,219 892 340,2020
6,Nigéria,217 757 685,2022
7,Brasil,216 082 491,2022
8,Bangladesh,164 689 383,2020
9,Rússia,145 934 462,2020
10,México,128 932 753,2020
11,Japão,126 476 461,2020
12,Etiópia,114 963 588,2020
13,Filipinas,109 581 078,2020
14,Egito,102 334 404,2020
15,Vietname,97 338 579,2020
16,República Democrática do Congo,89 561 403,2020
17,Turquia,84 339 067,2020
18,Irã,83 992 949,2020
19,Alemanha,83 783 942,2020
20,Tailândia,69 799 978,2020
21,Reino Unido,67 886 011,2020
22,França,65 273 511,2020
23,Itália,60 461 826,2020
24,Tanzânia,59 734 218,2020
25,África do Sul,59 308 690,2020
26,Myanmar,54 409 800,2020
27,Quénia,53 771 296,2020
28,Coreia do Sul,51 269 185,2020
29,Colômbia,50 882 891,2020
30,Espanha,46 754 778,2020
31,Uganda,45 741 007,2020
32,Argentina,45 195 774,2020
33,Argélia,43 851 044,2020
34,Sudão,43 849 260,2020
35,Ucrânia,43 733 762,2020
36,Iraque,40 222 493,2020
37,Afeganistão,38 928 346,2020
38,Polónia,37 846 611,2020
39,Canadá,37 742 154,2020
40,Marrocos,36 910 560,2020
41,Arábia Saudita,34 813 871,2020
42,Uzbequistão,33 469 203,2020
43,Peru,32 971 854,2020
44,Angola,32 866 272,2020
45,Malásia,32 365 999,2020
46,Moçambique,31 255 435,2020
47,Gana,31 072 940,2020
48,Iémen,29 825 968,2020
49,Nepal,29 136 808,2020
50,Venezuela,28 435 940,2020
51,Madagascar,27 691 018,2020
52,Camarões,26 545 864,2020
53,Costa do Marfim,26 378 274,2020
54,Coreia do Norte,25 778 816,2020
55,Austrália,25 499 884,2020
56,Níger,24 206 644,2020
–,Taiwan,23 816 775,2020
57,Sri Lanka,21 413 249,2020
58,Burquina Fasso,20 903 273,2020
59,Mali,20 250 833,2020
60,Roménia,19 237 691,2020
61,Malawi,19 129 952,2020
62,Chile,19 116 201,2020
63,Cazaquistão,18 776 707,2020
64,Zâmbia,18 383 955,2020
65,Guatemala,17 915 568,2020
66,Equador,17 643 054,2020
67,Síria,17 500 657,2020
68,Países Baixos,17 134 872,2020
69,Senegal,16 743 927,2020
70,Camboja,16 718 965,2020
71,Chade,16 425 864,2020
72,Somália,15 893 222,2020
73,Zimbabwe,14 862 924,2020
74,Guiné,13 132 795,2020
75,Ruanda,12 952 218,2020
76,Benim,12 123 000,2020
77,Burundi,11 890 784,2020
78,Tunísia,11 818 619,2020
79,Bolívia,11 673 021,2020
80,Bélgica,11 589 623,2020
81,Haiti,11 402 528,2020
82,Cuba,11 326 616,2020
83,Sudão do Sul,11 193 725,2020
84,República Dominicana,10 847 910,2020
85,Chéquia,10 708 981,2020
86,Grécia,10 423 054,2020
87,Portugal,10 344 802,2021
88,Jordânia,10 203 134,2020
89,Azerbaijão,10 139 177,2020
90,Suécia,10 099 265,2020
91,Honduras,9 904 607,2020
92,Emirados Árabes Unidos,9 890 402,2020
93,Hungria,9 660 351,2020
94,Tajiquistão,9 537 645,2020
95,Bielorrússia,9 449 323,2020
96,Áustria,9 006 398,2020
97,Papua-Nova Guiné,8 947 024,2020
98,Israel,8 655 535,2020
99,Suíça,8 654 622,2020
100,Togo,8 278 724,2020
101,Serra Leoa,7 976 983,2020
–,Hong Kong (China),7 496 981,2020
102,Laos,7 275 560,2020
103,Paraguai,7 132 538,2020
104,Bulgária,6 948 445,2020
105,Sérvia,6 926 705,2020
106,Líbia,6 871 292,2020
107,Líbano,6 825 445,2020
108,Nicarágua,6 624 554,2020
109,Quirguistão,6 524 195,2020
110,El Salvador,6 486 205,2020
111,Turquemenistão,6 031 200,2020
112,Singapura,5 850 342,2020
113,Dinamarca,5 792 202,2020
114,Finlândia,5 540 720,2020
115,Congo,5 518 087,2020
116,Eslováquia,5 459 642,2020
117,Noruega,5 421 241,2020
118,Omã,5 106 626,2020
119,Palestina,5 101 414,2020
120,Costa Rica,5 094 118,2020
121,Libéria,5 057 681,2020
122,Irlanda,4 937 786,2020
123,República Centro-Africana,4 829 767,2020
124,Nova Zelândia,4 822 233,2020
125,Mauritânia,4 649 658,2020
126,Panamá,4 314 767,2020
127,Kuwait,4 270 571,2020
128,Croácia,4 105 267,2020
129,Geórgia,3 989 167,2020
130,Eritreia,3 546 421,2020
131,Uruguai,3 473 730,2020
132,Bósnia e Herzegovina,3 280 819,2020
133,Mongólia,3 278 290,2020
134,Arménia,2 963 243,2020
135,Jamaica,2 961 167,2020
136,Catar,2 881 053,2020
137,Albânia,2 877 797,2020
–,Porto Rico (Estados Unidos),2 860 853,2020
138,Lituânia,2 722 289,2020
139,Moldávia,2 640 438,2020
140,Namíbia,2 540 905,2020
141,Gâmbia,2 416 668,2020
